DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC,20200601184822.000000000,20200601184125.000000000,20200601183623.000000000,20200601183346.000000000,20200601183534.000000000,20200601190824.000000000,DF-20-007323,228733,B,D7,309881,,1
FIRE/DOMESTIC,20200601134958.000000000,20200601131326.000000000,20200601130958.000000000,20200601130626.000000000,20200601130832.000000000,20200601135701.000000000,DF-20-007292,233433,B,D2,312233,,1
FIRE/DOMESTIC,20200601123315.000000000,20200601120858.000000000,20200601120610.000000000,20200601120412.000000000,20200601120505.000000000,20200601123946.000000000,DF-20-007290,233163,B,D2,314153,,1
FIRE/DOMESTIC,20200601092102.000000000,20200601091050.000000000,20200601090632.000000000,20200601090401.000000000,20200601090535.000000000,20200601092209.000000000,DF-20-007283,228263,B,D7,307521,,1
FIRE/DOMESTIC,20200427150419.000000000,20200427150035.000000000,20200427145453.000000000,20200427145311.000000000,20200427145347.000000000,20200427160446.000000000,DF-20-005205,232489,B,D2,310854,,1
FIRE/DOMESTIC PERSONS REPORTED,20200425200304.000000000,20200425194616.000000000,20200425193404.000000000,20200425193052.000000000,20200425193249.000000000,20200425201539.000000000,DF-20-005141,243571,D,D6,324417,,1
FIRE/DOMESTIC PERSONS REPORTED,20200425194221.000000000,20200425192321.000000000,20200425191854.000000000,20200425191550.000000000,20200425191720.000000000,20200425200942.000000000,DF-20-005140,241021,C,D9,306754,,1
FIRE/DOMESTIC,20200425184124.000000000,20200425183621.000000000,20200425183226.000000000,20200425183034.000000000,20200425183132.000000000,20200425211322.000000000,DF-20-005138,231001,B,D2,311223,,1
FIRE/DOMESTIC,20200425005817.000000000,,20200425005411.000000000,20200425005013.000000000,20200425005250.000000000,20200425010124.000000000,DF-20-005105,225726,B,D7,308533,,1
FIRE/DOMESTIC,20200424224059.000000000,20200424223706.000000000,20200424223129.000000000,20200424222741.000000000,20200424222954.000000000,20200424225559.000000000,DF-20-005095,230045,B,D7,306437,,1
FIRE/DOMESTIC,20200424194134.000000000,20200424192116.000000000,20200424191740.000000000,20200424191430.000000000,20200424191620.000000000,20200424194533.000000000,DF-20-005088,232643,B,D2,315824,,1
