DESCRIPTION,INCIDENT_MOBILE_AVAIL,INCIDENT_TIME_IN_ATTEND,INCIDENT_TIME_MOBILE,INCIDENT_TIME_OF_CALL,INCIDENT_TIME_ORDERED,INCIDENT_TIME_SHUT_DOWN,ISR_NO,LATITUDE,LEVEL4,LEVEL5,LONGITUDE,mssql_type,_overlaps
FIRE/DOMESTIC PERSONS REPORTED,20190812021836.000000000,20190812005305.000000000,20190812005124.000000000,20190812004749.000000000,20190812004925.000000000,20190812022536.000000000,DF-19-011238,241015,D,D6,319806,,1
FIRE/DOMESTIC PERSONS REPORTED,20190811021437.000000000,20190811014209.000000000,20190811013954.000000000,20190811013522.000000000,20190811013741.000000000,20190811023402.000000000,DF-19-011197,235335,C,D3,315680,,1
FIRE/DOMESTIC PERSONS REPORTED,20190811003847.000000000,20190811001058.000000000,20190811001039.000000000,20190811000642.000000000,20190811000814.000000000,20190811011711.000000000,DF-19-011193,235696,E,D10,316707,,1
FIRE/DOMESTIC,20190809210611.000000000,20190809204001.000000000,20190809203453.000000000,20190809203253.000000000,20190809203336.000000000,20190809211754.000000000,DF-19-011123,221000,C,D9,395000,,0
FIRE/DOMESTIC,20190809151917.000000000,20190809150400.000000000,20190809150327.000000000,20190809145921.000000000,20190809150205.000000000,20190809153032.000000000,DF-19-011112,237514,D,D6,318939,,1
FIRE/DOMESTIC,20190809043639.000000000,20190809014829.000000000,20190809013439.000000000,20190809013058.000000000,20190809013232.000000000,20190809043820.000000000,DF-19-011078,252259,F,D13,324651,,1
FIRE/DOMESTIC,20190809005147.000000000,20190809001833.000000000,20190809001445.000000000,20190809001121.000000000,20190809001341.000000000,20190809031853.000000000,DF-19-011074,233535,B,D2,312759,,1
FIRE/DOMESTIC PERSONS REPORTED,20190808205855.000000000,20190808204013.000000000,20190808203013.000000000,20190808202558.000000000,20190808202853.000000000,20190808210744.000000000,DF-19-011064,239801,D,D6,319055,,1
FIRE/DOMESTIC PERSONS REPORTED,20190808171322.000000000,20190808165156.000000000,20190808164724.000000000,20190808164539.000000000,20190808164642.000000000,20190808172123.000000000,DF-19-011052,231506,A,D1,316446,,1
FIRE/DOMESTIC,20190806144634.000000000,20190806142153.000000000,20190806141308.000000000,20190806140918.000000000,20190806141128.000000000,20190806153057.000000000,DF-19-010965,240873,F,D5,316591,,1
FIRE/DOMESTIC,20190806020334.000000000,20190806015434.000000000,20190806014943.000000000,20190806014623.000000000,20190806014756.000000000,20190806021229.000000000,DF-19-010944,233714,B,D2,313844,,1
FIRE/DOMESTIC,20190806010427.000000000,20190805233730.000000000,20190805232142.000000000,20190805231846.000000000,20190805232022.000000000,20190806011720.000000000,DF-19-010937,226103,A,D8,312592,,1
FIRE/DOMESTIC,20190805201323.000000000,20190805200340.000000000,20190805195026.000000000,20190805194703.000000000,20190805194914.000000000,20190805205200.000000000,DF-19-010924,226174,B,D7,308305,,1
FIRE/DOMESTIC,20190805095728.000000000,20190805085908.000000000,20190805085515.000000000,20190805085239.000000000,20190805085337.000000000,20190805100535.000000000,DF-19-010901,233929,A,D1,318825,,1
FIRE/DOMESTIC PERSONS REPORTED,20190805020358.000000000,20190805013710.000000000,20190805013132.000000000,20190805012915.000000000,20190805012951.000000000,20190805020946.000000000,DF-19-010896,239605,F,D5,315030,,1
FIRE/DOMESTIC PERSONS REPORTED,20190804183625.000000000,20190804173333.000000000,20190804172448.000000000,20190804172220.000000000,20190804172312.000000000,20190804185157.000000000,DF-19-010880,234596,B,D7,306460,,1
FIRE/DOMESTIC,20190803235958.000000000,20190803234156.000000000,20190803233744.000000000,20190803233621.000000000,20190803233717.000000000,20190804003113.000000000,DF-19-010843,233461,B,D2,312030,,1
FIRE/DOMESTIC,20190803185652.000000000,20190803183007.000000000,20190803182830.000000000,20190803182551.000000000,20190803182713.000000000,20190803190050.000000000,DF-19-010829,232890,B,D2,313818,,1
FIRE/DOMESTIC,20190803134806.000000000,20190803134033.000000000,20190803132521.000000000,20190803132236.000000000,20190803132427.000000000,20190803142320.000000000,DF-19-010811,254318,F,D24,325618,,1
FIRE/DOMESTIC,20190803071803.000000000,20190803070443.000000000,20190803070016.000000000,20190803065625.000000000,20190803065820.000000000,20190803072004.000000000,DF-19-010805,231555,B,D2,313449,,1
FIRE/DOMESTIC,20190801131232.000000000,20190801125302.000000000,20190801124534.000000000,20190801123751.000000000,20190801124431.000000000,20190801131958.000000000,DF-19-010705,236539,C,D3,313080,,1
FIRE/DOMESTIC,20190615180436.000000000,20190615165915.000000000,20190615165915.000000000,20190615165644.000000000,20190615165802.000000000,20190615181030.000000000,DF-19-008251,245361,F,D13,319855,,1
FIRE/DOMESTIC,20190615101108.000000000,20190615095533.000000000,20190615094539.000000000,20190615094109.000000000,20190615094407.000000000,20190615102147.000000000,DF-19-008241,227412,B,D7,307981,,1
FIRE/DOMESTIC,20190613134756.000000000,20190613132445.000000000,20190613131758.000000000,20190613131447.000000000,20190613131626.000000000,20190613135811.000000000,DF-19-008171,227741,A,D12,319945,,1
FIRE/DOMESTIC PERSONS REPORTED,20190613112022.000000000,20190613083947.000000000,20190613083251.000000000,20190613083104.000000000,20190613083221.000000000,20190613120949.000000000,DF-19-008158,227741,A,D12,319945,,1
FIRE/DOMESTIC,20190613024712.000000000,20190613002405.000000000,20190613002010.000000000,20190613001556.000000000,20190613001819.000000000,20190613025130.000000000,DF-19-008153,230959,B,D2,314653,,1
FIRE/DOMESTIC,20190612225223.000000000,20190612223644.000000000,20190612223150.000000000,20190612222742.000000000,20190612223045.000000000,20190612230312.000000000,DF-19-008146,231550,B,D7,305800,,1
FIRE/DOMESTIC,20190612155435.000000000,20190612144909.000000000,20190612144207.000000000,20190612143852.000000000,20190612144104.000000000,20190612160354.000000000,DF-19-008121,224121,A,D12,324417,,1
FIRE/DOMESTIC PERSONS REPORTED,20190610183937.000000000,20190610174433.000000000,20190610173743.000000000,20190610173431.000000000,20190610173610.000000000,20190610185644.000000000,DF-19-008001,240256,F,D5,315963,,1
FIRE/DOMESTIC,20190610011932.000000000,,20190610003014.000000000,20190610002715.000000000,20190610002854.000000000,20190610013802.000000000,DF-19-007982,240043,C,D9,304365,,1
FIRE/DOMESTIC,20190607211834.000000000,20190607210727.000000000,20190607205819.000000000,20190607205613.000000000,20190607205708.000000000,20190607212510.000000000,DF-19-007890,225852,B,D7,308453,,1
FIRE/DOMESTIC,20200531041856.000000000,20200531035717.000000000,20200531035412.000000000,20200531034714.000000000,20200531035207.000000000,20200531042238.000000000,DF-20-007160,232952,B,D2,312266,,1
FIRE/DOMESTIC,20200530175841.000000000,20200530173133.000000000,20200530172652.000000000,20200530172414.000000000,20200530172514.000000000,20200530180228.000000000,DF-20-007113,239012,C,D9,305375,,1
FIRE/DOMESTIC,20200530123856.000000000,20200530111453.000000000,20200530110404.000000000,20200530110106.000000000,20200530110255.000000000,20200530124730.000000000,DF-20-007072,240559,C,D9,307115,,1
FIRE/DOMESTIC,20200529233616.000000000,20200529225255.000000000,20200529224655.000000000,20200529224246.000000000,20200529224559.000000000,20200529234106.000000000,DF-20-007046,229456,A,D8,318605,,1
FIRE/DOMESTIC,20200529204514.000000000,20200529204056.000000000,20200529202813.000000000,20200529202634.000000000,20200529202731.000000000,20200529221323.000000000,DF-20-007037,226660,B,D7,307659,,1
FIRE/DOMESTIC,20200529125256.000000000,20200529114816.000000000,20200529114457.000000000,20200529114242.000000000,20200529114401.000000000,20200529131429.000000000,DF-20-006914,235058,D,D4,317869,,1
FIRE/DOMESTIC PERSONS REPORTED,20200528084951.000000000,20200528084650.000000000,20200528084258.000000000,20200528083936.000000000,20200528084135.000000000,20200528123456.000000000,DF-20-006858,236108,C,D3,315700,,1
FIRE/DOMESTIC,20200528012739.000000000,20200528005650.000000000,20200528004911.000000000,20200528004404.000000000,20200528004649.000000000,20200528015404.000000000,DF-20-006853,264161,F,D23,319826,,1
FIRE/DOMESTIC PERSONS REPORTED,20200527214237.000000000,20200527212222.000000000,20200527211616.000000000,20200527211259.000000000,20200527211502.000000000,20200527214855.000000000,DF-20-006827,239798,D,D6,318262,,1
FIRE/DOMESTIC,20200527222351.000000000,20200527194150.000000000,20200527192330.000000000,20200527192031.000000000,20200527192244.000000000,20200527234317.000000000,DF-20-006797,263644,F,D23,320330,,1
FIRE/DOMESTIC,20200527144701.000000000,20200527143250.000000000,20200527142827.000000000,20200527142337.000000000,20200527142705.000000000,20200527174927.000000000,DF-20-006756,237091,C,D9,310653,,1
FIRE/DOMESTIC,20200527140525.000000000,20200527135915.000000000,20200527135132.000000000,20200527134846.000000000,20200527135016.000000000,20200527153230.000000000,DF-20-006754,227321,B,D7,310478,,1
FIRE/DOMESTIC,20200526222532.000000000,20200526221344.000000000,20200526220830.000000000,20200526220548.000000000,20200526220659.000000000,20200526223032.000000000,DF-20-006714,227816,B,D7,306214,,1
FIRE/DOMESTIC PERSONS REPORTED,20200526021019.000000000,,20200526015425.000000000,20200526015035.000000000,20200526015215.000000000,20200526022734.000000000,DF-20-006652,239207,F,D5,313479,,1
FIRE/DOMESTIC,20200525234252.000000000,20200525231246.000000000,20200525230552.000000000,20200525230313.000000000,20200525230455.000000000,20200525234912.000000000,DF-20-006648,241505,D,D6,323957,,1
FIRE/DOMESTIC,20200525143816.000000000,20200525142824.000000000,20200525141933.000000000,20200525141723.000000000,20200525141839.000000000,20200525155708.000000000,DF-20-006572,226288,B,D7,309008,,1
FIRE/DOMESTIC PERSONS REPORTED,20200525061130.000000000,20200525060152.000000000,20200525055659.000000000,20200525055009.000000000,20200525055505.000000000,20200525062533.000000000,DF-20-006563,224894,A,D12,323596,,1
FIRE/DOMESTIC,20200525045117.000000000,20200525015535.000000000,20200525015004.000000000,20200525013528.000000000,20200525013723.000000000,20200525051958.000000000,DF-20-006560,253689,F,D13,315001,,1
FIRE/DOMESTIC PERSONS REPORTED,20200524162512.000000000,20200524161240.000000000,20200524160713.000000000,20200524160519.000000000,20200524160548.000000000,20200524163344.000000000,DF-20-006501,225673,B,D7,308246,,1
FIRE/DOMESTIC PERSONS REPORTED,20200523144259.000000000,20200523133207.000000000,20200523132229.000000000,20200523131824.000000000,20200523132132.000000000,20200523150913.000000000,DF-20-006445,231906,B,D2,311283,,1
FIRE/DOMESTIC PERSONS REPORTED,20200523121933.000000000,20200523112536.000000000,20200523111308.000000000,20200523111105.000000000,20200523111213.000000000,20200523123644.000000000,DF-20-006430,240209,D,D6,324611,,1
FIRE/DOMESTIC,20200522204838.000000000,20200522203145.000000000,20200522202956.000000000,20200522202734.000000000,20200522202820.000000000,20200522205837.000000000,DF-20-006387,232359,B,D2,315107,,1
FIRE/DOMESTIC,20200522200419.000000000,20200522192329.000000000,20200522191700.000000000,20200522191426.000000000,20200522191606.000000000,20200522202013.000000000,DF-20-006385,245146,F,D13,319827,,1
FIRE/DOMESTIC,20200522201713.000000000,20200522190020.000000000,20200522185650.000000000,20200522185424.000000000,20200522185541.000000000,20200522205251.000000000,DF-20-006384,235813,C,D3,314914,,1
FIRE/DOMESTIC PERSONS REPORTED,20200522151907.000000000,20200522145623.000000000,20200522144509.000000000,20200522144104.000000000,20200522144342.000000000,20200522174941.000000000,DF-20-006371,255223,F,D24,326273,,1
FIRE/DOMESTIC,20200522013938.000000000,20200522013628.000000000,20200522012738.000000000,20200522012125.000000000,20200522012609.000000000,20200522014903.000000000,DF-20-006349,224244,A,D12,321379,,1
FIRE/DOMESTIC,20200521234151.000000000,20200521234040.000000000,20200521233251.000000000,20200521232807.000000000,20200521233112.000000000,20200521235056.000000000,DF-20-006345,223872,A,D12,324816,,1
FIRE/DOMESTIC,20200521225138.000000000,20200521222923.000000000,20200521222007.000000000,20200521221441.000000000,20200521221840.000000000,20200521225145.000000000,DF-20-006338,226017,B,D7,304270,,1
FIRE/DOMESTIC,20200521162137.000000000,20200521160121.000000000,20200521155641.000000000,20200521155145.000000000,20200521155402.000000000,20200521162326.000000000,DF-20-006323,234830,C,D3,315130,,1
FIRE/DOMESTIC,20200521134302.000000000,20200521133153.000000000,20200521132317.000000000,20200521132042.000000000,20200521132222.000000000,20200521135901.000000000,DF-20-006319,226150,B,D7,308959,,1
FIRE/DOMESTIC PERSONS REPORTED,20200520213159.000000000,20200520184357.000000000,20200520183931.000000000,20200520183511.000000000,20200520183807.000000000,20200520215937.000000000,DF-20-006276,234113,B,D7,306371,,1
FIRE/DOMESTIC,20200519225916.000000000,,20200519225257.000000000,20200519225041.000000000,20200519225119.000000000,20200519230445.000000000,DF-20-006245,236892,D,D4,317696,,1
FIRE/DOMESTIC,20200519141401.000000000,20200519133650.000000000,20200519133125.000000000,20200519132942.000000000,20200519133010.000000000,20200519153459.000000000,DF-20-006230,232005,B,D7,305264,,1
FIRE/DOMESTIC,20200519110114.000000000,20200519104539.000000000,20200519104031.000000000,20200519103302.000000000,20200519103844.000000000,20200519110335.000000000,DF-20-006226,234668,E,D10,317171,,1
FIRE/DOMESTIC PERSONS REPORTED,20200519075329.000000000,20200519073305.000000000,20200519072647.000000000,20200519072341.000000000,20200519072452.000000000,20200519080129.000000000,DF-20-006221,225533,B,D7,308824,,1
FIRE/UNDERGROUND,20200518151431.000000000,20200518145404.000000000,20200518145030.000000000,20200518144809.000000000,20200518144911.000000000,20200518152731.000000000,DF-20-006187,233741,B,D2,313534,,1
FIRE/CARAVAN,20190607203418.000000000,,20190607202858.000000000,20190607202611.000000000,20190607202725.000000000,20190607215904.000000000,DF-19-007887,240681,D,D6,320543,,1
FIRE/DOMESTIC,20190607114850.000000000,20190607114708.000000000,20190607113814.000000000,20190607113405.000000000,20190607113643.000000000,20190607121910.000000000,DF-19-007871,248311,F,D13,316803,,1
FIRE/DOMESTIC,20190607113335.000000000,20190607112416.000000000,20190607111950.000000000,20190607111714.000000000,20190607111845.000000000,20190607115207.000000000,DF-19-007870,226523,A,D12,325370,,1
FIRE/DOMESTIC PERSONS REPORTED,20190607112512.000000000,20190607110209.000000000,20190607110007.000000000,20190607105738.000000000,20190607105936.000000000,20190607120625.000000000,DF-19-007868,238456,C,D9,308266,,1
FIRE/DOMESTIC,20190606214304.000000000,20190606213251.000000000,20190606213001.000000000,20190606212726.000000000,20190606212910.000000000,20190606214418.000000000,DF-19-007846,239142,F,D5,311912,,1
FIRE/DOMESTIC PERSONS REPORTED,20190605234410.000000000,20190605234241.000000000,20190605233154.000000000,20190605232835.000000000,20190605233019.000000000,20190605235655.000000000,DF-19-007815,233618,B,D7,307195,,1
FIRE/DOMESTIC,20190605235223.000000000,20190605224554.000000000,20190605224602.000000000,20190605224214.000000000,20190605224453.000000000,20190605235451.000000000,DF-19-007813,235875,D,D4,316941,,1
FIRE/DOMESTIC,20190605224813.000000000,20190605212534.000000000,20190605211933.000000000,20190605211629.000000000,20190605211743.000000000,20190605233343.000000000,DF-19-007805,232787,B,D7,306767,,1
FIRE/DOMESTIC PERSONS REPORTED,20190605153352.000000000,20190605144624.000000000,20190605142945.000000000,20190605142655.000000000,20190605142831.000000000,20190605154930.000000000,DF-19-007786,250575,F,D13,323813,,1
FIRE/DOMESTIC,20190605135027.000000000,20190605134641.000000000,20190605134223.000000000,20190605133835.000000000,20190605134052.000000000,20190605141003.000000000,DF-19-007783,234104,E,D10,316906,,1
FIRE/DOMESTIC,20190605004250.000000000,20190604235423.000000000,20190604234930.000000000,20190604234639.000000000,20190604234753.000000000,20190605004817.000000000,DF-19-007757,229546,A,D1,319975,,1
FIRE/DOMESTIC,20190602053127.000000000,20190602051714.000000000,20190602051236.000000000,20190602050839.000000000,20190602051027.000000000,20190602053414.000000000,DF-19-007647,235427,C,D3,315608,,1
FIRE/DOMESTIC PERSONS REPORTED,20190601100314.000000000,20190601091648.000000000,20190601091403.000000000,20190601091120.000000000,20190601091303.000000000,20190601100730.000000000,DF-19-007597,233502,B,D2,314906,,1
FIRE/DOMESTIC,20190601024904.000000000,20190601023150.000000000,20190601022919.000000000,20190601022530.000000000,20190601022754.000000000,20190601025041.000000000,DF-19-007591,239128,D,D6,321043,,1
FIRE/CARAVAN,20190531223740.000000000,,20190531222754.000000000,20190531222332.000000000,20190531222556.000000000,20190531231205.000000000,DF-19-007588,232985,B,D7,305106,,1
FIRE/DOMESTIC PERSONS REPORTED,20190531180502.000000000,20190531175023.000000000,20190531174348.000000000,20190531174121.000000000,20190531174248.000000000,20190531195019.000000000,DF-19-007577,223937,A,D12,325247,,1
FIRE/DOMESTIC,20190530192954.000000000,20190530183906.000000000,20190530183528.000000000,20190530183215.000000000,20190530183418.000000000,20190530193644.000000000,DF-19-007527,227650,A,D8,314539,,1
FIRE/DOMESTIC PERSONS REPORTED,20190530173312.000000000,20190530173032.000000000,20190530172653.000000000,20190530172228.000000000,20190530172537.000000000,20190530175441.000000000,DF-19-007521,232787,B,D2,313840,,1
FIRE/DOMESTIC,20190530173316.000000000,20190530171201.000000000,20190530171119.000000000,20190530170837.000000000,20190530170953.000000000,20190530185718.000000000,DF-19-007520,239381,C,D9,303486,,1
FIRE/DOMESTIC PERSONS REPORTED,20190529114835.000000000,20190529100515.000000000,20190529100507.000000000,20190529100142.000000000,20190529100335.000000000,20190529124000.000000000,DF-19-007469,238666,D,D6,320831,,1
FIRE/DOMESTIC,20190528162531.000000000,20190528153908.000000000,20190528153432.000000000,20190528153143.000000000,20190528153305.000000000,20190528164602.000000000,DF-19-007414,236186,C,D3,312114,,1
FIRE/DOMESTIC,20190528155711.000000000,20190528151713.000000000,20190528150354.000000000,20190528150120.000000000,20190528150251.000000000,20190528172534.000000000,DF-19-007413,224559,A,D8,316459,,1
FIRE/DOMESTIC PERSONS REPORTED,20190527220131.000000000,20190527214608.000000000,20190527214315.000000000,20190527213646.000000000,20190527214129.000000000,20190527220701.000000000,DF-19-007392,236603,D,D4,318766,,1
FIRE/DOMESTIC,20190527152900.000000000,20190527152131.000000000,20190527151658.000000000,20190527151317.000000000,20190527151558.000000000,20190527161328.000000000,DF-19-007371,232229,B,D2,312436,,1
FIRE/DOMESTIC,20190527141542.000000000,20190527130252.000000000,20190527125304.000000000,20190527124847.000000000,20190527125155.000000000,20190527142511.000000000,DF-19-007351,226517,B,D7,301280,,1
FIRE/DOMESTIC,20190527082153.000000000,20190527072438.000000000,20190527071635.000000000,20190527071250.000000000,20190527071416.000000000,20190527082346.000000000,DF-19-007345,228091,A,D8,315213,,1
FIRE/DOMESTIC,20200518143727.000000000,20200518134408.000000000,20200518133945.000000000,20200518133746.000000000,20200518133834.000000000,20200518144418.000000000,DF-20-006184,237119,C,D9,306865,,1
FIRE/DOMESTIC PERSONS REPORTED,20200518115438.000000000,20200518110634.000000000,20200518110058.000000000,20200518105739.000000000,20200518105959.000000000,20200518130918.000000000,DF-20-006181,232499,B,D2,310173,,1
FIRE/DOMESTIC,20200518062839.000000000,20200518061433.000000000,20200518060829.000000000,20200518060358.000000000,20200518060639.000000000,20200518064507.000000000,DF-20-006179,239326,D,D6,325529,,1
FIRE/DOMESTIC,20200517203940.000000000,20200517203007.000000000,20200517202541.000000000,20200517202222.000000000,20200517202457.000000000,20200517204741.000000000,DF-20-006112,240928,D,D6,322198,,1
FIRE/DOMESTIC,20200517160225.000000000,20200517154302.000000000,20200517153532.000000000,20200517153311.000000000,20200517153406.000000000,20200517161442.000000000,DF-20-006054,230302,A,D8,315085,,1
FIRE/DOMESTIC,20200517112126.000000000,20200517111614.000000000,20200517111324.000000000,20200517110928.000000000,20200517111157.000000000,20200517130358.000000000,DF-20-006050,232711,B,D2,314918,,1
FIRE/DOMESTIC PERSONS REPORTED,20200516223104.000000000,20200516221723.000000000,20200516221153.000000000,20200516220744.000000000,20200516221049.000000000,20200516223847.000000000,DF-20-006042,230484,B,D2,314066,,1
FIRE/UNDERGROUND,20200516183814.000000000,20200516182809.000000000,20200516182359.000000000,20200516181956.000000000,20200516182224.000000000,20200516185059.000000000,DF-20-006036,234511,D,D4,317031,,1
FIRE/DOMESTIC,20200516011342.000000000,20200516010548.000000000,20200516010246.000000000,20200516005718.000000000,20200516010100.000000000,20200516011904.000000000,DF-20-005964,234391,C,D3,314276,,1
FIRE/DOMESTIC,20200515213940.000000000,20200515212938.000000000,20200515212550.000000000,20200515212252.000000000,20200515212427.000000000,20200515214300.000000000,DF-20-005955,239920,C,D9,306553,,1
FIRE/DOMESTIC,20200515205908.000000000,20200515205051.000000000,20200515204232.000000000,20200515203921.000000000,20200515204129.000000000,20200515214525.000000000,DF-20-005954,232855,B,D7,308195,,1
FIRE/DOMESTIC,20200514201920.000000000,20200514201743.000000000,20200514200129.000000000,20200514195731.000000000,20200514200050.000000000,20200514202604.000000000,DF-20-005910,233971,B,D7,308603,,1
FIRE/DOMESTIC,20200514201920.000000000,20200514201743.000000000,20200514200129.000000000,20200514195731.000000000,20200514200050.000000000,20200514202604.000000000,DF-20-005910,233971,B,D7,308603,,1
FIRE/DOMESTIC,20200513195837.000000000,,20200513194608.000000000,20200513193955.000000000,20200513194301.000000000,20200513200259.000000000,DF-20-005873,238899,F,D5,312052,,1
FIRE/DOMESTIC,20200513195837.000000000,,20200513194608.000000000,20200513193955.000000000,20200513194301.000000000,20200513200259.000000000,DF-20-005873,238899,F,D5,312052,,1
FIRE/DOMESTIC,20200513200937.000000000,20200513193201.000000000,20200513192630.000000000,20200513192339.000000000,20200513192531.000000000,20200513201534.000000000,DF-20-005872,225206,A,D12,322442,,1
FIRE/DOMESTIC,20200513200937.000000000,20200513193201.000000000,20200513192630.000000000,20200513192339.000000000,20200513192531.000000000,20200513201534.000000000,DF-20-005872,225206,A,D12,322442,,1
FIRE/DOMESTIC,20200513130107.000000000,20200513124425.000000000,20200513124057.000000000,20200513123317.000000000,20200513123920.000000000,20200513130501.000000000,DF-20-005858,228455,A,D8,314464,,1
FIRE/DOMESTIC,20200513130107.000000000,20200513124425.000000000,20200513124057.000000000,20200513123317.000000000,20200513123920.000000000,20200513130501.000000000,DF-20-005858,228455,A,D8,314464,,1
FIRE/CARAVAN,20200513130713.000000000,20200513124437.000000000,20200513123802.000000000,20200513123518.000000000,20200513123617.000000000,20200513133344.000000000,DF-20-005857,240649,F,D5,314883,,1
FIRE/CARAVAN,20200513130713.000000000,20200513124437.000000000,20200513123802.000000000,20200513123518.000000000,20200513123617.000000000,20200513133344.000000000,DF-20-005857,240649,F,D5,314883,,1
FIRE/DOMESTIC,20200513085523.000000000,20200513084910.000000000,20200513084658.000000000,20200513084200.000000000,20200513084457.000000000,20200513093108.000000000,DF-20-005853,236337,C,D3,314345,,1
FIRE/DOMESTIC,20200513085523.000000000,20200513084910.000000000,20200513084658.000000000,20200513084200.000000000,20200513084457.000000000,20200513093108.000000000,DF-20-005853,236337,C,D3,314345,,1
FIRE/DOMESTIC,20200513065058.000000000,20200513052359.000000000,20200513052008.000000000,20200513051530.000000000,20200513051733.000000000,20200513065547.000000000,DF-20-005848,236337,C,D3,314345,,1
FIRE/DOMESTIC PERSONS REPORTED,20200512192647.000000000,20200512192334.000000000,20200512191848.000000000,20200512191614.000000000,20200512191740.000000000,20200512195918.000000000,DF-20-005836,231235,B,D2,313009,,1
FIRE/DOMESTIC,20200512182226.000000000,20200512174515.000000000,20200512173920.000000000,20200512173659.000000000,20200512173820.000000000,20200512190923.000000000,DF-20-005823,238102,D,D4,317050,,1
FIRE/DOMESTIC,20200511221646.000000000,,20200511215709.000000000,20200511215329.000000000,20200511215512.000000000,20200511222012.000000000,DF-20-005790,238583,C,D9,304791,,1
FIRE/DOMESTIC PERSONS REPORTED,20190527021434.000000000,20190527020258.000000000,20190527020012.000000000,20190527015442.000000000,20190527015819.000000000,20190527021730.000000000,DF-19-007341,227208,A,D12,323701,,1
FIRE/DOMESTIC PERSONS REPORTED,20190526220833.000000000,20190526220627.000000000,20190526215938.000000000,20190526215433.000000000,20190526215843.000000000,20190526222429.000000000,DF-19-007333,239236,D,D6,324353,,1
FIRE/DOMESTIC,20190525205754.000000000,20190525205224.000000000,20190525203821.000000000,20190525203416.000000000,20190525203639.000000000,20190525212416.000000000,DF-19-007287,237420,D,D6,329325,,1
FIRE/DOMESTIC,20190525183836.000000000,20190525182252.000000000,20190525181449.000000000,20190525181219.000000000,20190525181332.000000000,20190525190623.000000000,DF-19-007286,234178,B,D7,306998,,1
FIRE/DOMESTIC,20190524225344.000000000,20190524224001.000000000,20190524223039.000000000,20190524222730.000000000,20190524222931.000000000,20190524230240.000000000,DF-19-007247,232960,B,D7,308806,,1
FIRE/DOMESTIC PERSONS REPORTED,20190524204845.000000000,20190524190733.000000000,20190524185246.000000000,20190524184857.000000000,20190524185124.000000000,20190524210641.000000000,DF-19-007227,254067,F,D24,325678,,1
FIRE/DOMESTIC PERSONS REPORTED,20190524073204.000000000,20190524070155.000000000,20190524065519.000000000,20190524065059.000000000,20190524065319.000000000,20190524075829.000000000,DF-19-007199,239286,F,D5,315752,,1
FIRE/DOMESTIC PERSONS REPORTED,20190524012616.000000000,20190524001904.000000000,20190524000850.000000000,20190524000629.000000000,20190524000742.000000000,20190524013343.000000000,DF-19-007183,230712,A,D1,319571,,1
FIRE/DOMESTIC,20190523223123.000000000,20190523221622.000000000,20190523221601.000000000,20190523221302.000000000,20190523221429.000000000,20190523230924.000000000,DF-19-007178,235054,D,D4,317858,,1
FIRE/DOMESTIC,20190523194602.000000000,20190523193300.000000000,20190523192408.000000000,20190523192147.000000000,20190523192306.000000000,20190523200341.000000000,DF-19-007167,233918,B,D7,304990,,1
FIRE/DOMESTIC,20190522234328.000000000,20190522223827.000000000,20190522222849.000000000,20190522222439.000000000,20190522222722.000000000,20190522235316.000000000,DF-19-007122,264237,F,D23,319005,,1
FIRE/DOMESTIC,20190522182343.000000000,20190522174025.000000000,20190522173915.000000000,20190522173648.000000000,20190522173750.000000000,20190522183943.000000000,DF-19-007099,250158,F,D13,322724,,1
FIRE/DOMESTIC PERSONS REPORTED,20190521184724.000000000,20190521174713.000000000,20190521174002.000000000,20190521173636.000000000,20190521173811.000000000,20190521185843.000000000,DF-19-007002,225250,B,D7,309000,,1
FIRE/DOMESTIC,20190521163245.000000000,20190521153613.000000000,20190521153003.000000000,20190521152722.000000000,20190521152913.000000000,20190521182846.000000000,DF-19-006999,243081,F,D5,312110,,1
FIRE/DOMESTIC PERSONS REPORTED,20190520232948.000000000,20190520230454.000000000,20190520225844.000000000,20190520225614.000000000,20190520225751.000000000,20190520233544.000000000,DF-19-006978,233602,B,D2,310914,,1
FIRE/DOMESTIC,20190520143824.000000000,20190520142533.000000000,20190520142539.000000000,20190520142239.000000000,20190520142432.000000000,20190520145534.000000000,DF-19-006949,236899,D,D4,316967,,1
FIRE/DOMESTIC PERSONS REPORTED,20190519210151.000000000,,20190519200249.000000000,20190519195855.000000000,20190519200120.000000000,20190519211746.000000000,DF-19-006926,263050,F,D23,320750,,1
FIRE/DOMESTIC,20190519141404.000000000,20190519141154.000000000,20190519141008.000000000,20190519140543.000000000,20190519140857.000000000,20190519141633.000000000,DF-19-006907,232952,B,D2,313401,,1
FIRE/DOMESTIC,20190518123057.000000000,20190518122615.000000000,20190518122131.000000000,20190518121723.000000000,20190518121930.000000000,20190518132636.000000000,DF-19-006852,231947,B,D2,315629,,1
FIRE/DOMESTIC,20190518053034.000000000,20190518044353.000000000,20190518043649.000000000,20190518043258.000000000,20190518043413.000000000,20190518053119.000000000,DF-19-006835,237646,D,D4,317724,,1
FIRE/CARAVAN,20190518013601.000000000,20190518012841.000000000,20190518012021.000000000,20190518011704.000000000,20190518011843.000000000,20190518015439.000000000,DF-19-006823,246598,F,D5,310067,,1
FIRE/DOMESTIC,20190517213333.000000000,20190517211924.000000000,20190517211931.000000000,20190517211501.000000000,20190517211801.000000000,20190517213801.000000000,DF-19-006809,234708,D,D4,317919,,1
